produce,buyer_type,rolling_avg,month,is_festival,weather_rain,weather_heat,price_level,demand,produce_enc
Tomato,2,76.0791396448229,12,0,1,0,28.214521731569214,72.95803682379639,0
Onion,1,11.06087082881791,9,1,1,1,21.521193650095185,15.574869194897966,2
Tomato,2,71.06115245535176,8,0,1,0,30.133312319694596,54.909746321194746,0
Cabbage,1,154.87295417059494,12,0,0,0,13.254152522718297,154.84922746098655,3
Cauliflower,0,158.00724537459263,11,1,0,0,34.45433915791365,190.19743846798107,10
Cauliflower,0,157.27281188287566,3,1,0,1,30.433795220624052,197.2587578384397,10
Grapes,0,191.5427447887795,8,0,1,0,89.69505768305538,177.98954992288424,11
Guava,2,85.75369448340493,2,0,1,0,50.57482578005529,87.5080875592784,12
Tomato,0,151.72415300352793,8,0,1,1,29.57936213207772,116.67582979998772,0
Cauliflower,1,83.80377971204612,10,0,0,0,27.573851252204754,75.923552439277,10
Apple,2,130.3822983178306,8,0,0,0,95.61552986160757,123.51816459640159,7
Grapes,0,61.578064182721775,9,0,0,0,75.51694072431061,63.73200229247454,11
Brinjal,0,137.8436910196546,8,0,0,0,16.071314820675397,150.22740120713107,13
Spinach,0,25.03705522727367,3,0,1,0,19.217102646737217,30.946302753134372,9
Grapes,2,65.74027366502438,7,0,0,0,106.59096341280569,65.80567105207356,11
Orange,1,42.00737331031587,4,0,0,0,46.39884138742438,43.027314296425054,8
Onion,1,194.98424512782114,2,0,0,0,19.803354775551817,196.5747657654056,2
Grapes,1,99.0045619484862,9,0,0,0,105.36390500330485,101.05428161619758,11
Brinjal,0,105.85491059333035,9,0,1,0,15.715110730477027,112.12025345326542,13
Spinach,2,93.05850459449469,4,0,1,1,24.15695008452714,94.7804388482589,9
Orange,0,152.34308114605466,2,0,0,1,53.38135544356631,162.92503917927453,8
Grapes,2,172.62736202725597,4,0,0,0,78.61710003095816,175.51541750317503,11
Tomato,2,163.79352831798053,11,0,0,1,23.030691871938515,138.451467441746,0
Onion,2,104.95648462165833,7,0,1,1,20.60143664292641,97.26126102140637,2
Carrot,1,18.23455964575998,2,0,0,0,36.916205694601885,12.804636093818342,4
Cauliflower,2,144.75191979334366,7,1,1,1,21.139250528715237,232.11710600151127,10
Tomato,0,68.07648056423008,10,0,0,1,23.75887196298158,74.03287707057535,0
Guava,2,109.02786308821508,8,0,0,0,39.35341734345194,104.35338180453529,12
Cabbage,1,39.03878193270364,9,0,0,0,13.784933279570298,43.26927947439585,3
Mango,0,195.7805400304802,3,0,0,1,97.15466792204609,189.97563389873505,6
Orange,1,56.28009631650491,6,0,0,0,51.95840735496715,56.84817446611283,8
Apple,1,193.3175955195981,1,0,0,0,101.8872345950091,227.17281148480083,7
Tomato,1,49.22109943188496,12,1,0,0,28.713574142006138,68.82058289885339,0
Carrot,0,70.24425596150772,10,0,0,0,33.85252439882645,65.96531014453403,4
Orange,1,134.0310884986106,5,0,0,0,44.99425414036689,158.4577859946134,8
Spinach,0,57.784836040685356,4,0,1,0,24.363453360491857,62.05968677553919,9
Spinach,2,178.23542118713073,9,1,0,0,23.477575306489122,243.23714788190156,9
